lat,lon,gid,Name,description,gx_media_links
54.4571887,23.634848,1,Žuvinto rezervato apžvalgos bokštelis,"<img src=""https://doc-14-ag-mymaps.googleusercontent.com/untrusted/hostedimage/ihucu48q9m5s1hftel5u85tfdc/4j50st56t9u644b41quaiif874/1641717000000/-WPmm_dsOCr8C_2Ftfdhs7CzXYdOD0wc/*/6AIsG_vYQAAWrOrLhsOdjU-w7GgPSYpvB2X5yMkTs9BIsTJ5q0DRIkA1z86QRFj52vsz5nCvijOHZgOhXOyDkhNRxIHDoMPGPzYWvHtKs_BZtybioz_D2XDKLOda6TwG8FCLFqYihbszhc8gUqqbzGu8_WIfZvP2cePbiE4wNyvHtAp86Gczd7ohfl_eavqjNTA?session=0&fife"" height=""200"" width=""auto"" /><br><br>Žuvinto rezervato pažintiniame take įrengtas keleto metrų aukščio apžvalgos bokštelis, iš kurio galima stebėti rezervatą ir jame gyvenančius paukščius.",https://doc-14-ag-mymaps.googleusercontent.com/untrusted/hostedimage/ihucu48q9m5s1hftel5u85tfdc/4j50st56t9u644b41quaiif874/1641717000000/-WPmm_dsOCr8C_2Ftfdhs7CzXYdOD0wc/*/6AIsG_vYQAAWrOrLhsOdjU-w7GgPSYpvB2X5yMkTs9BIsTJ5q0DRIkA1z86QRFj52vsz5nCvijOHZgOhXOyDkhNRxIHDoMPGPzYWvHtKs_BZtybioz_D2XDKLOda6TwG8FCLFqYihbszhc8gUqqbzGu8_WIfZvP2cePbiE4wNyvHtAp86Gczd7ohfl_eavqjNTA?session=0&fife
54.509088,24.737488,2,Apžvalgos bokštelis,"<img src=""https://doc-0s-ag-mymaps.googleusercontent.com/untrusted/hostedimage/ihucu48q9m5s1hftel5u85tfdc/8h653avb9g0glacoku60uuavfg/1641717000000/-WPmm_dsOCr8C_2Ftfdhs7CzXYdOD0wc/*/6AIsG_va8KcQy1DMgmONbFC9_1nQO49oqP7Ggz0J6bi9IaK5tZb6bljnjYLZmygiIxH_-3kORgq1zpc_FXb-cUcv6MU2qdtQCsMjKgN8OpHb5eYkHvGjwoVvwEV6co8fKaRSMuJLAIdnHeqEy-xn6ES63hNsVd7nulBAxJye-EOy6ZvfiNoabFHhbmm5DJzBV7A?session=0&fife"" height=""200"" width=""auto"" /><br><br>Nedidelis medinis apžvalgos bokštelis Žydkaimyje, įsiterpęs tarp privačių sklypų, iš kurio atsiveria vaizdas į slėnį.",https://doc-0s-ag-mymaps.googleusercontent.com/untrusted/hostedimage/ihucu48q9m5s1hftel5u85tfdc/8h653avb9g0glacoku60uuavfg/1641717000000/-WPmm_dsOCr8C_2Ftfdhs7CzXYdOD0wc/*/6AIsG_va8KcQy1DMgmONbFC9_1nQO49oqP7Ggz0J6bi9IaK5tZb6bljnjYLZmygiIxH_-3kORgq1zpc_FXb-cUcv6MU2qdtQCsMjKgN8OpHb5eYkHvGjwoVvwEV6co8fKaRSMuJLAIdnHeqEy-xn6ES63hNsVd7nulBAxJye-EOy6ZvfiNoabFHhbmm5DJzBV7A?session=0&fife
54.9428718,23.4165645,3,Novaraisčio paukščių stebėjimo bokštelis,,
54.9403859,23.7219257,4,Netonių apžvalgos bokštas,,
54.5401941,25.6511664,5,Medininkų pilies bokštas,"<img src=""https://doc-0c-ag-mymaps.googleusercontent.com/untrusted/hostedimage/ihucu48q9m5s1hftel5u85tfdc/vog2h6dupk07euffd7luld35dg/1641717000000/-WPmm_dsOCr8C_2Ftfdhs7CzXYdOD0wc/*/6AIsG_vZcFl7m--tGy75InjALAziQ6qkPMMF3qI3duB8PoZwa_j2i_l9oZBezqisAPob4eaI4jvv_C2RENaVHtWZclXDQ-XFPNGv8ywRuaPAvlY_W0RtTLgZqVbbZtGBh6JJc7nNc-XnlxOI5Au1ungaLA96DrFApAv9EEdIcL5FRrD3kJZLgaurwJiY3gRzSbg?session=0&fife"" height=""200"" width=""auto"" /><br><br><br><br><img src=""https://doc-08-ag-mymaps.googleusercontent.com/untrusted/hostedimage/ihucu48q9m5s1hftel5u85tfdc/c7fj92jbhpf8pitbjjoj65tsjk/1641717000000/-WPmm_dsOCr8C_2Ftfdhs7CzXYdOD0wc/*/6AIsG_vYq_bz_4UADRWaFWHm8aDinDw7vaQxHMR9h5V-yehH6IxoJ615vAfrj_pVjixlZ8X2UYCddLYoHVkT4ZCvnmZ_J_pAwkgft_c0Ol_VhQGV0CjLOxQHgkiaHNW6gtnm5q2-cgEnnkctVNyI3lU0XHgn6_DQyjeww005fbQVYzRWz1HZpFwkoSgiBfDQsMw?session=0&fife"" height=""200"" width=""auto"" /><br><br><img src=""https://doc-0k-ag-mymaps.googleusercontent.com/untrusted/hostedimage/ihucu48q9m5s1hftel5u85tfdc/frqgnrmdlcsdog92n6ds9g07ro/1641717000000/-WPmm_dsOCr8C_2Ftfdhs7CzXYdOD0wc/*/6AIsG_va9iuqM5qQ3s7eFX0rowvN59nualSG2_RLZxwYCMFvyHKm-6UyleeJ8S-N32ENTOa7o5tD_M2n6HOHkndw6ofkyaNKHuiz8JsTVZDUtsccub4_qH6YUxY6L4zuIIgLfIBxOev6n7tyq-iJ3WsYkogI9j-qtIAZYMGBHWS2RA0CIU95BlFE1gTnHf_8HCw?session=0&fife"" height=""200"" width=""auto"" /><br><br><img src=""https://doc-0o-ag-mymaps.googleusercontent.com/untrusted/hostedimage/ihucu48q9m5s1hftel5u85tfdc/qfc9l09o4m99csif1dhj5bi428/1641717000000/-WPmm_dsOCr8C_2Ftfdhs7CzXYdOD0wc/*/6AIsG_va9VobWVHrejUwO90HvfJdC5ykGZ0APQQ385Sgw75ZjYnn_jW5UrHopxrpylssWBG4bd7aLLTHmhpBb5WwpSye6CEn0dQJIzQFvB1Wvdzmn1ynN_QPr5j1cTWQBOV0R_1HRaRovi3-o_0Wwel3EEB4_bgb9MYPvMNSwZTXSzU9XGenaHqHsuCanspTltA?session=0&fife"" height=""200"" width=""auto"" />",https://doc-0c-ag-mymaps.googleusercontent.com/untrusted/hostedimage/ihucu48q9m5s1hftel5u85tfdc/vog2h6dupk07euffd7luld35dg/1641717000000/-WPmm_dsOCr8C_2Ftfdhs7CzXYdOD0wc/*/6AIsG_vZcFl7m--tGy75InjALAziQ6qkPMMF3qI3duB8PoZwa_j2i_l9oZBezqisAPob4eaI4jvv_C2RENaVHtWZclXDQ-XFPNGv8ywRuaPAvlY_W0RtTLgZqVbbZtGBh6JJc7nNc-XnlxOI5Au1ungaLA96DrFApAv9EEdIcL5FRrD3kJZLgaurwJiY3gRzSbg?session=0&fife https://doc-08-ag-mymaps.googleusercontent.com/untrusted/hostedimage/ihucu48q9m5s1hftel5u85tfdc/c7fj92jbhpf8pitbjjoj65tsjk/1641717000000/-WPmm_dsOCr8C_2Ftfdhs7CzXYdOD0wc/*/6AIsG_vYq_bz_4UADRWaFWHm8aDinDw7vaQxHMR9h5V-yehH6IxoJ615vAfrj_pVjixlZ8X2UYCddLYoHVkT4ZCvnmZ_J_pAwkgft_c0Ol_VhQGV0CjLOxQHgkiaHNW6gtnm5q2-cgEnnkctVNyI3lU0XHgn6_DQyjeww005fbQVYzRWz1HZpFwkoSgiBfDQsMw?session=0&fife https://doc-0k-ag-mymaps.googleusercontent.com/untrusted/hostedimage/ihucu48q9m5s1hftel5u85tfdc/frqgnrmdlcsdog92n6ds9g07ro/1641717000000/-WPmm_dsOCr8C_2Ftfdhs7CzXYdOD0wc/*/6AIsG_va9iuqM5qQ3s7eFX0rowvN59nualSG2_RLZxwYCMFvyHKm-6UyleeJ8S-N32ENTOa7o5tD_M2n6HOHkndw6ofkyaNKHuiz8JsTVZDUtsccub4_qH6YUxY6L4zuIIgLfIBxOev6n7tyq-iJ3WsYkogI9j-qtIAZYMGBHWS2RA0CIU95BlFE1gTnHf_8HCw?session=0&fife https://doc-0o-ag-mymaps.googleusercontent.com/untrusted/hostedimage/ihucu48q9m5s1hftel5u85tfdc/qfc9l09o4m99csif1dhj5bi428/1641717000000/-WPmm_dsOCr8C_2Ftfdhs7CzXYdOD0wc/*/6AIsG_va9VobWVHrejUwO90HvfJdC5ykGZ0APQQ385Sgw75ZjYnn_jW5UrHopxrpylssWBG4bd7aLLTHmhpBb5WwpSye6CEn0dQJIzQFvB1Wvdzmn1ynN_QPr5j1cTWQBOV0R_1HRaRovi3-o_0Wwel3EEB4_bgb9MYPvMNSwZTXSzU9XGenaHqHsuCanspTltA?session=0&fife
55.0965673,23.1303406,6,Raudonės pilis,"<img src=""https://doc-14-ag-mymaps.googleusercontent.com/untrusted/hostedimage/ihucu48q9m5s1hftel5u85tfdc/a6hna5c2rqms98k4gap5s8uqco/1641717000000/-WPmm_dsOCr8C_2Ftfdhs7CzXYdOD0wc/*/6AIsG_vYYo1m1f_k9WIEm-QklOk1Yc75ooufSd8EjnSjdNCpr_9TQe9HyDeOFzEjt-uU2WqezI2DafRl-sq63fsrbx7QRwjrLMfXBuquo0IqsSN328Q-dEXMK1WvAwhnSSaVDumX74lrDyCioKtoyuLa6ojheAfzyS0SwF5PAk9ljjs55_ff9RgWLmfCJcjvjOw?session=0&fife"" height=""200"" width=""auto"" /><br><br><br><br><img src=""https://doc-0o-ag-mymaps.googleusercontent.com/untrusted/hostedimage/ihucu48q9m5s1hftel5u85tfdc/1nkpuoe19b5v1ej7m6ujs2h2u4/1641717000000/-WPmm_dsOCr8C_2Ftfdhs7CzXYdOD0wc/*/6AIsG_vYUR7bbIU99a8XScsnskRB7ScheJuGGOtLaQ-K9vH0EjynaBwe2Jfm83riyXpACs2uKChSWk31Ye-xEL6O7pVT9bDu0ur_Qen-ZjwSY-5knyVJtTtj4_WZ8FdpDb88k3nAzZDud5x2mgpMjrtdA5bIa9u_vUP_FOajEto7LssXWzAoCExujWLuAD612jg?session=0&fife"" height=""200"" width=""auto"" /><br><br><img src=""https://doc-08-ag-mymaps.googleusercontent.com/untrusted/hostedimage/ihucu48q9m5s1hftel5u85tfdc/mvb4a1e3fska191ahj5h245tgg/1641717000000/-WPmm_dsOCr8C_2Ftfdhs7CzXYdOD0wc/*/6AIsG_vYshUW0TXPpvNklBTG5OB1TZDGdX4qo1h9EKl1PKWlbqSmZs6Yt9LYYLuj-kv-ZbaXei-NBaxrOiDvjhGVK-qLS1yK3FuHXJLSIgqHM7V_TG_TDvnBddXEY0RSgjanLENnNa1LacIgmPYJrA1ieYGQv39BTsVFqI-q2pCSrvXjoY7DW6VbZZiol9A-Q2w?session=0&fife"" height=""200"" width=""auto"" /><br><br><img src=""https://doc-0g-ag-mymaps.googleusercontent.com/untrusted/hostedimage/ihucu48q9m5s1hftel5u85tfdc/3jkpk4d553v1okrv2c1877sk94/1641717000000/-WPmm_dsOCr8C_2Ftfdhs7CzXYdOD0wc/*/6AIsG_vatwipQy1HQ9wkA_mA1O9bePLNrydPCu6sd7i9OqBVd42YjRt4k40Kylo5coHGJraB9GhIZHO_d-MzW71-jyj3FaIfM6WlTsUrUxk5p1boXNX4EEA6-loQMsQgO8yVLNspJ2IoWzKBrTKEHNRC8PVAZKlyFQ2R_ymvU2vkKWkKVw0HNgKz1MlmQTsYzTQ?session=0&fife"" height=""200"" width=""auto"" />",https://doc-14-ag-mymaps.googleusercontent.com/untrusted/hostedimage/ihucu48q9m5s1hftel5u85tfdc/a6hna5c2rqms98k4gap5s8uqco/1641717000000/-WPmm_dsOCr8C_2Ftfdhs7CzXYdOD0wc/*/6AIsG_vYYo1m1f_k9WIEm-QklOk1Yc75ooufSd8EjnSjdNCpr_9TQe9HyDeOFzEjt-uU2WqezI2DafRl-sq63fsrbx7QRwjrLMfXBuquo0IqsSN328Q-dEXMK1WvAwhnSSaVDumX74lrDyCioKtoyuLa6ojheAfzyS0SwF5PAk9ljjs55_ff9RgWLmfCJcjvjOw?session=0&fife https://doc-0o-ag-mymaps.googleusercontent.com/untrusted/hostedimage/ihucu48q9m5s1hftel5u85tfdc/1nkpuoe19b5v1ej7m6ujs2h2u4/1641717000000/-WPmm_dsOCr8C_2Ftfdhs7CzXYdOD0wc/*/6AIsG_vYUR7bbIU99a8XScsnskRB7ScheJuGGOtLaQ-K9vH0EjynaBwe2Jfm83riyXpACs2uKChSWk31Ye-xEL6O7pVT9bDu0ur_Qen-ZjwSY-5knyVJtTtj4_WZ8FdpDb88k3nAzZDud5x2mgpMjrtdA5bIa9u_vUP_FOajEto7LssXWzAoCExujWLuAD612jg?session=0&fife https://doc-08-ag-mymaps.googleusercontent.com/untrusted/hostedimage/ihucu48q9m5s1hftel5u85tfdc/mvb4a1e3fska191ahj5h245tgg/1641717000000/-WPmm_dsOCr8C_2Ftfdhs7CzXYdOD0wc/*/6AIsG_vYshUW0TXPpvNklBTG5OB1TZDGdX4qo1h9EKl1PKWlbqSmZs6Yt9LYYLuj-kv-ZbaXei-NBaxrOiDvjhGVK-qLS1yK3FuHXJLSIgqHM7V_TG_TDvnBddXEY0RSgjanLENnNa1LacIgmPYJrA1ieYGQv39BTsVFqI-q2pCSrvXjoY7DW6VbZZiol9A-Q2w?session=0&fife https://doc-0g-ag-mymaps.googleusercontent.com/untrusted/hostedimage/ihucu48q9m5s1hftel5u85tfdc/3jkpk4d553v1okrv2c1877sk94/1641717000000/-WPmm_dsOCr8C_2Ftfdhs7CzXYdOD0wc/*/6AIsG_vatwipQy1HQ9wkA_mA1O9bePLNrydPCu6sd7i9OqBVd42YjRt4k40Kylo5coHGJraB9GhIZHO_d-MzW71-jyj3FaIfM6WlTsUrUxk5p1boXNX4EEA6-loQMsQgO8yVLNspJ2IoWzKBrTKEHNRC8PVAZKlyFQ2R_ymvU2vkKWkKVw0HNgKz1MlmQTsYzTQ?session=0&fife
54.9024806,23.9166999,7,Kristaus Prisikėlimo bažnyčia,"<img src=""https://doc-0g-ag-mymaps.googleusercontent.com/untrusted/hostedimage/ihucu48q9m5s1hftel5u85tfdc/m0d706h8s2revkhlv780g3arqk/1641717000000/-WPmm_dsOCr8C_2Ftfdhs7CzXYdOD0wc/*/6AIsG_vbeHieePVv0tkzriaHvvY8ZQ4VEVYQCLERyO_BJUpZ2V0m5bVhQ-tvfcMcMhRBlSUDVhtFVrCBYXfWosZggt-zIRFy8BIxx_2Hr1tsrqqFjYxvwFVow0kI6rYfeM6TaPH69-bl-Y1IHOEeQcyvhIi8MLAiDB3znCE8S5YEMYMqCv24NalsndTNm89qyJA?session=0&fife"" height=""200"" width=""auto"" /><br><br><br><br><img src=""https://doc-08-ag-mymaps.googleusercontent.com/untrusted/hostedimage/ihucu48q9m5s1hftel5u85tfdc/s0dvo37aoi5pmo590etl3f5c6o/1641717000000/-WPmm_dsOCr8C_2Ftfdhs7CzXYdOD0wc/*/6AIsG_vap58XD6X_h64dYhV37TDKAJwLiIZpWBSJ6KAq6i64P9Eux6nye3nhI2QplwKA7rS8_ndM2fbaSb5ijW4naqQ6RTtKf-m9IzleTHH-87NaMlZhG9I2tVKJxQxfb1PcPjZ_wKZum19sa6HR30iCHL7IIW6OI-TBhhM25NeL2VtayFFc7Zw7vdEA2-gtQjw?session=0&fife"" height=""200"" width=""auto"" /><br><br><img src=""https://doc-14-ag-mymaps.googleusercontent.com/untrusted/hostedimage/ihucu48q9m5s1hftel5u85tfdc/ak85fu4aj16bup7pbo387v0pnc/1641717000000/-WPmm_dsOCr8C_2Ftfdhs7CzXYdOD0wc/*/6AIsG_vZfJ8pyIj1VucnDBwfLaZzPDpPcah5UxZd9CHj9tINu3DE6FyxcVIhLJ3kn046s5bphNPvbUpnCZx7lhRM8LRl7VzPAHZi-tLtrJJRnZtxgzwPdTteNnrAHVkXmSjp7nLgbY2_7RMj6r1_Vf25VNN9QUuLvVZKzrVV40ersrwWS0wu3_YBQijKXv3bsXw?session=0&fife"" height=""200"" width=""auto"" /><br><br><img src=""https://doc-0k-ag-mymaps.googleusercontent.com/untrusted/hostedimage/ihucu48q9m5s1hftel5u85tfdc/nf8sioclhiot8d6rh564ufakfk/1641717000000/-WPmm_dsOCr8C_2Ftfdhs7CzXYdOD0wc/*/6AIsG_vZ6GyoPikOD5C4K9gP0kxot0BLmgz2kqI2yqf8T1qDd4s0-84uM7xRENRKurAw2K0fMFRFb8MLa9e7DuDzvsGWvApk4WPH8K34OH1b1fUuBIl6v5uPJPWXnyfLAQDsLvzUJUQB_JHA1RkLerlumjax_Oe5oFLpQPERkv787iDTzCvXhaIu2-GSNRtxUFQ?session=0&fife"" height=""200"" width=""auto"" />",https://doc-0g-ag-mymaps.googleusercontent.com/untrusted/hostedimage/ihucu48q9m5s1hftel5u85tfdc/m0d706h8s2revkhlv780g3arqk/1641717000000/-WPmm_dsOCr8C_2Ftfdhs7CzXYdOD0wc/*/6AIsG_vbeHieePVv0tkzriaHvvY8ZQ4VEVYQCLERyO_BJUpZ2V0m5bVhQ-tvfcMcMhRBlSUDVhtFVrCBYXfWosZggt-zIRFy8BIxx_2Hr1tsrqqFjYxvwFVow0kI6rYfeM6TaPH69-bl-Y1IHOEeQcyvhIi8MLAiDB3znCE8S5YEMYMqCv24NalsndTNm89qyJA?session=0&fife https://doc-08-ag-mymaps.googleusercontent.com/untrusted/hostedimage/ihucu48q9m5s1hftel5u85tfdc/s0dvo37aoi5pmo590etl3f5c6o/1641717000000/-WPmm_dsOCr8C_2Ftfdhs7CzXYdOD0wc/*/6AIsG_vap58XD6X_h64dYhV37TDKAJwLiIZpWBSJ6KAq6i64P9Eux6nye3nhI2QplwKA7rS8_ndM2fbaSb5ijW4naqQ6RTtKf-m9IzleTHH-87NaMlZhG9I2tVKJxQxfb1PcPjZ_wKZum19sa6HR30iCHL7IIW6OI-TBhhM25NeL2VtayFFc7Zw7vdEA2-gtQjw?session=0&fife https://doc-14-ag-mymaps.googleusercontent.com/untrusted/hostedimage/ihucu48q9m5s1hftel5u85tfdc/ak85fu4aj16bup7pbo387v0pnc/1641717000000/-WPmm_dsOCr8C_2Ftfdhs7CzXYdOD0wc/*/6AIsG_vZfJ8pyIj1VucnDBwfLaZzPDpPcah5UxZd9CHj9tINu3DE6FyxcVIhLJ3kn046s5bphNPvbUpnCZx7lhRM8LRl7VzPAHZi-tLtrJJRnZtxgzwPdTteNnrAHVkXmSjp7nLgbY2_7RMj6r1_Vf25VNN9QUuLvVZKzrVV40ersrwWS0wu3_YBQijKXv3bsXw?session=0&fife https://doc-0k-ag-mymaps.googleusercontent.com/untrusted/hostedimage/ihucu48q9m5s1hftel5u85tfdc/nf8sioclhiot8d6rh564ufakfk/1641717000000/-WPmm_dsOCr8C_2Ftfdhs7CzXYdOD0wc/*/6AIsG_vZ6GyoPikOD5C4K9gP0kxot0BLmgz2kqI2yqf8T1qDd4s0-84uM7xRENRKurAw2K0fMFRFb8MLa9e7DuDzvsGWvApk4WPH8K34OH1b1fUuBIl6v5uPJPWXnyfLAQDsLvzUJUQB_JHA1RkLerlumjax_Oe5oFLpQPERkv787iDTzCvXhaIu2-GSNRtxUFQ?session=0&fife
55.3441036,21.2915736,8,Uostadvario švyturys,,
54.687173,25.2145779,9,Televizijos bokštas,,
54.6823509,25.2880704,10,Šv. Jonų bažnyčios varpinė,,
